Job Title,Location,Company founded,Employee Count,Description,Skills,Link
Adobe - AI Engineer,Job available in Bangalore,Founded in 1982,More than 1000 employees,"Founded in 1982 and headquartered in San Jose, California, Adobe has historically focused upon the creation of multimedia and creativity software products, with a more recent foray towards rich Internet application software development.","PyTorch,OpenCV,TensorFlow,Computer Vision",https://www.instahyre.com/job-295410-ai-engineer-at-adobe-bangalore/
Allen Career Institute - Data Engineer,Job available in Bangalore,Founded in 1988,More than 1000 employees,"Allen is a career coaching institute that offers classroom, distance learning, and online courses to students who are appearing for national-level entrance exams while operating across 35 cities nationwide.","ETL,AWS,Hadoop,MySQL",https://www.instahyre.com/job-295398-data-engineer-at-allen-career-institute-bangalore/
AmberStudent - Software Engineer,Job available in Noida,Founded in 2016,50 - 200 employees,"AmberStudent is a one-click platform for cross-border students to book accommodation without the hassle of negotiation, non-standardised and cumbersome paperwork, lack of credit score.","CI - CD,Shell Scripting,DevOps,Bash",https://www.instahyre.com/job-295330-software-engineer-at-amberstudent-noida/
Bristol Myers Squibb - Cloud Computing Developer II,Job available in Hyderabad,Founded in 1887,More than 1000 employees,Bristol Myers Squibb is a global biopharmaceutical company committed to creating innovative medicines for millions of patients around the world fighting serious diseases in various therapeutic areas.,"AWS,Node.js,Terraform,AWS CloudFormation",https://www.instahyre.com/job-295327-cloud-computing-developer-ii-at-bristol-myers-squibb-hyderabad/
Bristol Myers Squibb - Cloud Computing Engineer,Job available in Hyderabad,Founded in 1887,More than 1000 employees,Bristol Myers Squibb is a global biopharmaceutical company committed to creating innovative medicines for millions of patients around the world fighting serious diseases in various therapeutic areas.,"DevOps,AWS,Terraform,AWS CloudFormation",https://www.instahyre.com/job-295311-cloud-computing-engineer-at-bristol-myers-squibb-hyderabad/
Bristol Myers Squibb - DevOps Engineer,Job available in Hyderabad,Founded in 1887,More than 1000 employees,Bristol Myers Squibb is a global biopharmaceutical company committed to creating innovative medicines for millions of patients around the world fighting serious diseases in various therapeutic areas.,"DevOps,AWS,Terraform",https://www.instahyre.com/job-295269-devops-engineer-at-bristol-myers-squibb-hyderabad/
Carrier - Secops Engineer,Job available in Bangalore,Founded in 1915,More than 1000 employees,"Carrier is a leading manufacturer and distributor of heating, air-conditioning, ventilation, and refrigeration solutions for residential, commercial, retail, transport, and food industry across 160 countries.","AWS,Monitoring,Network Security,Information Security",https://www.instahyre.com/job-295406-secops-engineer-at-carrier-bangalore/
DynamoFL - QA - Test Automation,Job available in Work From Home,Founded in 2021,10 - 50 employees,DynamoFL is an AI-based technology company that enables enterprise teams to train highly personalized ML models without ever having to collect user data and delivers faster generative AI solutions.,"Selenium,Java,Node.js,Kubernetes",https://www.instahyre.com/job-295399-qa-test-automation-at-dynamofl-work-from-home/
Freshworks - Lead Software Engineer - Backend,Job available in Chennai,Founded in 2010,More than 1000 employees,"Freshworks is a cloud-based business management applications provider company. The product portfolio includes customer support software, CRM software, IT service management software, call center software and more.","Golang,Java,Node.js,Ruby,Hibernate,J2EE,+3,Ruby on Rails,Spring,Struts",https://www.instahyre.com/job-295278-lead-software-engineer-backend-at-freshworks-chennai/
Heart It Out - Data Analyst (Internship),Job available in Bangalore,Founded in 2018,50 - 200 employees,"Heart It Out is a wellness service providing organization that specializes in offering mental health-care solutions, a wide range of therapy sessions, psychiatrist consultations, and more to the customers.","Microsoft Excel,SQL,Tableau",https://www.instahyre.com/job-295227-data-analyst-internship-at-heart-it-out-bangalore/
OnlineSales.ai - Software Engineer,Job available in Pune,Founded in 2016,50 - 200 employees,"OnlineSales.ai leverages big data analytics to deliver marketing experience & automation to eCommerce companies. It provides user acquisition, engagement, analytics & monetization on a single platform.","Algorithms,Data Structures,Azure,AWS",https://www.instahyre.com/job-295251-software-engineer-at-onlinesales-pune/
R Systems International - Senior Software Engineer - Azure Migration,Job available in Noida,Founded in 1993,More than 1000 employees,"R Systems is an specialized IT Services & Solutions provider of Deep Analytics, Robotic Process Automation, QA & Testing, App Development, KPO/BPO, Supply Chain Solutions & Mobile Broadband Management.","Terraform,Azure,Data Migration,Azure DevOps Server",https://www.instahyre.com/job-295369-senior-software-engineer-azure-migration-at-r-systems-international-noida/
Refyne - Software Development Engineer,Job available in Bangalore,Founded in 2020,10 - 50 employees,"Refyne is an employee-based financial wellness neo banking platform, offering real-time salary tracking and its on-demand withdrawal system before payday. It also collects financial data for employers.","Java,Node.js,Data Structures,Algorithms",https://www.instahyre.com/job-295268-software-development-engineer-at-refyne-bangalore/
